,Datetime,Total Load
0,2019-01-01,93945.46649209713
1,2019-02-01,89052.91956991036
2,2019-03-01,90056.00895246532
3,2019-04-01,82540.30090426936
4,2019-05-01,89349.22800042275
5,2019-06-01,97400.35990074932
6,2019-07-01,98487.56965743157
7,2019-08-01,93535.81046960443
8,2019-09-01,93802.42378512344
9,2019-10-01,89681.63842890284
10,2019-11-01,88388.3998337016
11,2019-12-01,90944.08303631036
